,main_file,label_img,sub_level_file
120,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_34_1.png
121,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_36.png
122,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_36_6.png
123,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_37.png
124,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_38.png
125,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_4.png
126,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_4_0.png
127,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_40.png
128,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_43_0.png
129,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_43_12.png
130,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_43_2.png
131,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_43_6.png
132,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_43_8.png
133,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_50_0.png
134,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_50_1.png
135,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_50_5.png
136,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_51_0.png
137,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_51_1.png
138,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_53.png
139,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_53_6.png
140,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_54.png
141,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_55.png
142,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_57.png
143,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_60_0.png
144,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_60_12.png
145,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_60_2.png
146,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_60_6.png
147,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_60_8.png
148,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_67_0.png
149,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_67_1.png
150,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_67_5.png
151,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_68_0.png
152,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_68_1.png
153,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_70.png
154,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_70_6.png
155,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_71.png
156,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_72.png
157,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_74.png
158,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_8.png
159,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_8_0.png
160,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_9_0.png
161,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_9_12.png
162,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_9_2.png
163,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_9_6.png
164,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_9_8.png
165,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L0_14.png
166,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_13_0.png
167,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_13_1.png
168,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_14.png
169,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_2.png
170,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_23.png
171,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_23_0.png
172,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_23_1.png
173,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_24.png
174,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_24_0.png
175,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_24_1.png
176,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_25.png
177,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_25_0.png
178,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_25_1.png
179,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_26.png
180,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_26_0.png
181,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_26_1.png
182,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_7.png
183,JBR04898,IMG_LOT_CODE_SYMBOL_BW.png,JBR04898_L2_8.png
184,JBR06147,IMG_LOT_CODE_SYMBOL_BW.png,JBR06147_L0_12.png
185,JBR06147,IMG_LOT_CODE_SYMBOL_BW.png,JBR06147_L0_9.png
186,JBR06147,IMG_LOT_CODE_SYMBOL_BW.png,JBR06147_L2_1_0.png
187,JBR06147,IMG_LOT_CODE_SYMBOL_BW.png,JBR06147_L2_10.png
188,JBR06147,IMG_LOT_CODE_SYMBOL_BW.png,JBR06147_L2_11.png
189,JBR06147,IMG_LOT_CODE_SYMBOL_BW.png,JBR06147_L2_16.png
190,JBR06147,IMG_LOT_CODE_SYMBOL_BW.png,JBR06147_L2_26.png
191,JBR06147,IMG_LOT_CODE_SYMBOL_BW.png,JBR06147_L2_6.png
192,JBR06147,IMG_LOT_CODE_SYMBOL_BW.png,JBR06147_L2_7_0.png
